Province,City,Monitoring_Station,Latitude,Longitude,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index,Pollution_Level
Beijing,Beijing,Beijing_Station_6,30.601632,114.818788,2023-01-26,21.12,7.01,8.2,422.7,17.42,3.14,0.02399999999999157,0.4100000000007206,0.1929999999999421,3.6,29.08,3.89,6.949999999997497,0.21000000000099373,0.140000000000102,90,35.34,Excellent
Zhejiang,Hangzhou,Hangzhou_Station_1,28.448851,106.930824,2023-06-26,16.2,7.08,8.68,687.62,1.85,2.29,0.030000000000023147,0.6499999999990858,0.17400000000012644,3.35,19.34,3.93,4.440000000001369,0.5600000000008236,0.05000000000007772,111,46.87,Poor
Sichuan,Mianyang,Mianyang_Station_4,21.767467,124.428567,2023-04-18,12.03,6.7,8.01,504.7,7.33,1.84,0.003999999999994754,0.2299999999991687,0.12700000000019868,3.53,27.71,3.17,4.3899999999903745,0.5500000000012883,0.20000000000029958,108,85.22,Good
Guangdong,Guangzhou,Guangzhou_Station_10,41.963126,116.820089,2023-07-07,30.3,7.88,7.5,597.16,0.72,2.74,0.02899999999996883,0.40999999999919073,0.082999999999915,2.13,27.22,4.89,4.729999999999613,0.540000000001064,0.14211773748836115,109,62.21,Very Poor
Guangdong,Shenzhen,Shenzhen_Station_9,39.361329,101.608317,2023-12-03,11.48,6.97,8.77,496.73,3.39,2.56,0.006000000000058058,0.47999999999916143,0.0959999999992607,2.45,22.44,4.75,4.419999999997479,0.9099999999998414,0.07999999999983272,89,4.09,Very Poor
Henan,Zhengzhou,Zhengzhou_Station_9,41.649875,112.391598,2023-09-25,17.35,6.6,7.79,396.48,1.16,2.03,0.022806793133443647,0.47999999999956366,0.10199999999987729,3.26,26.02,4.85,3.7600000000005744,0.3500000000007304,0.12999999999970877,91,48.45,Poor
Hubei,Yichang,Yichang_Station_5,28.35643,110.978065,2023-08-05,12.42,7.68,11.29,475.1,0.19,2.43,0.009999999999957916,0.5099999999993081,0.14800000000014427,2.51,20.4,5.52,0.08999999998878394,0.3400000000011706,0.05000000000027474,96,32.21,Poor
Guangdong,Guangzhou,Guangzhou_Station_8,26.856036,104.584787,2023-06-05,16.77,6.46,11.37,588.16,7.78,1.56,0.019999999999905205,0.9700000000002365,0.15099999999959124,2.78,27.91,3.61,3.6599999999911486,0.7800000000014776,0.029999999999724816,102,98.65,Excellent
Yunnan,Dali,Dali_Station_7,42.71605,101.869134,2023-01-12,13.01,7.28,6.7,451.29,1.03,1.59,0.015000000000026797,4.725109192804666e-13,0.13399999999955392,3.2,19.58,4.24,5.549999999997663,0.3600000000002247,0.0699999999998838,102,28.0,Excellent
Zhejiang,Ningbo,Ningbo_Station_3,39.123203,115.35914,2023-10-25,16.69,7.29,6.47,319.51,3.54,1.77,0.016999999999965182,0.2000000000000322,0.13999999999955823,2.43,21.34,6.78,1.7799999999997311,0.4700000000013884,0.08000000000002706,87,99.0,Moderate
Beijing,Beijing,Beijing_Station_7,41.566757,118.723211,2023-05-02,25.03,6.71,9.67,387.03,7.14,1.64,0.04399999999998927,0.14999999999972152,0.04799999999980364,3.08,20.45,4.49,8.159999999994014,0.47999999999993104,0.11000000000045021,109,16.37,Very Poor
Sichuan,Chengdu,Chengdu_Station_9,28.681149,103.542698,2023-11-13,21.97,6.79,8.58,707.54,2.22,1.86,0.028999999999966296,0.4499999999982046,0.16500000000000048,2.66,8.85,5.05,3.3099999999974576,0.18000000000133237,0.10000000000020774,115,54.36,Poor
Yunnan,Kunming,Kunming_Station_8,40.381768,110.062302,2023-07-23,21.18,7.39,5.04,614.38,0.75,2.25,0.03199999999997948,0.6900000000001291,0.10399999999955473,2.76,22.02,2.91,3.369999999995951,0.8000000000004497,0.11999999999944216,113,82.13,Poor
Henan,Luoyang,Luoyang_Station_2,24.801898,121.950265,2023-02-26,18.65,6.51,7.11,537.73,1.3,2.48,0.02999999999993837,0.7799999999998175,0.15000000000026043,2.18,21.4,2.94,3.9699999999964835,0.5300000000003905,0.14000000000032214,97,94.73,Good
Shandong,Qingdao,Qingdao_Station_7,27.949988,103.22426,2023-10-30,21.4,6.44,12.89,512.92,0.09,2.89,0.02599999999996419,0.5399999999991671,0.1219999999997198,3.13,14.3,2.66,8.76999999999859,0.5400000000011953,0.109999999999575,118,11.32,Very Poor
Shanghai,Shanghai,Shanghai_Station_1,41.821983,102.193845,2023-01-24,20.28,7.55,4.62,652.96,0.28,2.54,0.013999999999972375,0.6699999999997097,0.13143763866702324,2.89,23.14,5.27,3.3599999999858134,0.20000000000026613,0.08999999999993982,99,17.64,Moderate
Jiangsu,Suzhou,Suzhou_Station_4,40.204767,103.719794,2023-04-02,6.52,6.97,7.54,569.62,4.34,1.49,0.024999999999987747,0.3399999999989647,0.09199999999981483,3.0,20.79,3.32,5.300000000000153,0.34000000000009856,0.12999999999973422,115,19.07,Very Poor
Jiangsu,Nanjing,Nanjing_Station_9,25.671504,121.03869,2023-12-15,19.84,6.73,6.57,510.64,7.47,2.69,0.018213988220879062,0.07999999999901841,0.03800000000005194,2.41,21.02,4.29,4.4899999999874325,0.4700000000001585,0.130000000000206,93,40.87,Excellent
Beijing,Beijing,Beijing_Station_4,30.785867,105.186028,2023-08-20,24.68,7.64,9.44,387.09,0.1,2.05,0.018999999999954963,0.5999999999994704,0.0469999999994282,2.82,18.85,4.81,3.119999999999691,0.550000000001488,0.11000000000009369,97,20.5,Poor
Shanghai,Shanghai,Shanghai_Station_8,24.591588,121.321029,2023-12-24,22.97,6.85,8.65,374.89,2.74,1.38,0.011999999999978866,0.7600000000006895,0.012000000000216574,3.38,12.93,5.25,0.6600000000095232,0.15000000000132785,0.07000000000024231,122,14.01,Good
Sichuan,Mianyang,Mianyang_Station_6,33.296476,111.897126,2023-07-11,19.81,7.55,8.23,515.03,2.77,3.08,0.027000000000026864,0.379999999999665,0.07900000000004018,2.36,20.5,2.37,6.099999999998411,0.900000000000544,0.13999999999981116,111,1.1,Excellent
Guangdong,Guangzhou,Guangzhou_Station_4,38.825218,108.347286,2023-06-14,21.28,7.49,11.33,601.44,0.96,1.92,0.027999999999969882,0.5799999999992753,0.11583551479402412,2.83,20.99,2.57,6.159999999991925,0.20000000000053964,0.06000000000007826,96,29.71,Very Poor
Sichuan,Mianyang,Mianyang_Station_6,37.848377,115.055612,2023-06-09,15.25,8.32,8.99,518.48,6.59,2.3,0.005000000000000747,0.5000000000000041,0.06699999999989598,2.16,24.94,3.65,5.490000000002753,0.5400000000012062,0.08000000000021738,100,43.48,Good
Shanghai,Shanghai,Shanghai_Station_3,25.709125,121.77899,2023-07-14,23.54,6.72,9.26,597.26,1.59,1.12,0.03099999999995553,0.2400000000008578,0.08900000000009212,3.53,20.6,4.82,6.240000000001395,0.7600000000014411,0.15000000000033675,112,48.94,Moderate
Shandong,Jinan,Jinan_Station_10,33.324258,121.851032,2023-12-30,22.15,7.1,8.54,372.33,12.35,2.22,0.01799999999993264,0.7299999999993153,0.09600000000037678,2.77,24.43,2.59,5.999999999991336,0.29000000000099213,0.15999999999995632,107,31.53,Moderate
Hubei,Wuhan,Wuhan_Station_9,21.033143,111.136859,2023-10-07,27.23,7.1,10.06,351.44,10.86,1.33,0.025999999999919636,0.6399999999972914,0.10199999999992351,3.61,16.58,3.49,0.029999999994439364,0.6800000000018672,0.1200000000003978,98,73.76,Good
Zhejiang,Ningbo,Ningbo_Station_4,21.262966,100.391229,2023-09-29,17.9,6.86,5.31,408.13,1.76,1.03,0.007999999999847544,0.2899999999999251,0.1339999999999753,2.92,15.87,6.31,3.66999999997789,0.730000000000249,0.17999999999955935,100,17.65,Poor
Beijing,Beijing,Beijing_Station_4,39.674378,121.409449,2023-10-11,16.88,6.72,6.73,618.9,0.3,1.81,0.00800000000001866,0.6600000000012367,0.15199999999992594,3.17,18.12,3.29,3.590000000001262,0.9700000000021558,0.1499999999999913,102,87.75,Excellent
Shanghai,Shanghai,Shanghai_Station_4,35.251724,113.629876,2023-03-22,16.94,6.81,8.57,533.45,5.32,1.57,0.02099999999994507,0.14999999999991337,0.037000000000043234,3.44,15.25,3.16,4.980000000001875,0.6400000000008575,0.04999999999988874,82,49.51,Very Poor
Shanghai,Shanghai,Shanghai_Station_10,40.326352,100.152429,2023-07-09,32.63,6.73,7.02,604.42,5.67,1.18,0.02500000000003084,0.5499999999989071,0.11499999999963889,3.47,22.11,4.41,6.429999999990631,0.5999999999989701,0.13999999999998472,105,75.27,Excellent
Yunnan,Dali,Dali_Station_2,28.910684,123.036966,2023-07-23,19.16,7.07,10.41,418.31,0.88,2.21,0.02399999999999979,0.4500000000004583,0.09999999999969382,3.41,12.55,4.02,5.180000000000881,0.650000000000989,0.030000000000452595,101,10.7,Very Poor
Shandong,Qingdao,Qingdao_Station_6,40.459325,100.017169,2023-04-08,21.25,7.79,7.81,527.9,5.01,2.09,0.023999999999981887,0.4600000000003961,0.0799999999993086,2.82,20.87,2.19,6.930000000000412,0.40000000000105657,0.10999999999981222,87,2.46,Excellent
Guangdong,Shenzhen,Shenzhen_Station_3,24.647425,109.881441,2023-06-08,27.83,6.97,6.89,688.12,1.6,1.39,0.017999999999876656,0.6299999999985777,0.14899999999986335,3.56,26.55,3.78,2.709999999995737,0.48000000000052445,0.13000000000051629,104,27.42,Poor
Guangdong,Shenzhen,Shenzhen_Station_7,30.100151,106.011096,2023-10-05,19.77,7.12,7.52,535.21,1.2,2.04,0.017999999999998177,0.6900000000006183,0.08299999999939348,3.25,19.86,4.27,4.540000000000824,0.6400000000013826,0.14000000000015897,112,62.62,Moderate
Zhejiang,Ningbo,Ningbo_Station_4,31.776082,120.818523,2023-11-22,20.98,7.35,7.82,644.01,0.62,2.19,0.01199999999991992,0.23000000000040777,0.08400000000038657,2.63,19.93,2.41,6.129999999991305,0.3700000000006186,0.15000000000013403,99,7.24,Moderate
Jiangsu,Nanjing,Nanjing_Station_4,44.941576,124.584187,2023-02-18,17.74,5.79,4.83,576.04,5.94,2.19,0.02500000000002454,0.5000000000008894,0.07100000000016331,2.87,17.98,6.4,4.949999999999562,0.6000000000010375,0.19000000000028563,100,35.06,Poor
Yunnan,Dali,Dali_Station_8,29.365034,121.053163,2023-01-19,14.99,6.86,11.6,564.08,8.06,1.75,0.015999999999999657,0.5600000000007862,0.05999999999999895,3.91,21.79,4.39,6.359999999989195,0.3800000000016524,0.15000000000024763,110,89.48,Excellent
Beijing,Beijing,Beijing_Station_10,34.80574,123.89624,2023-01-21,26.59,7.1,12.15,431.08,3.74,1.82,0.021999999999939315,0.28999999999906534,0.07400000000027698,3.31,25.65,6.97,4.80999999999897,0.3100000000014026,0.1399999999999137,104,68.02,Excellent
Zhejiang,Hangzhou,Hangzhou_Station_7,38.80463,103.096844,2023-06-11,18.71,6.17,8.8,564.72,6.79,1.07,0.01099999999998753,0.1900000000007483,0.19999999999962675,2.95,28.9,2.37,3.8499999999956214,0.6600000000005078,0.10999999999987388,91,63.16,Excellent
Shanghai,Shanghai,Shanghai_Station_9,24.401751,107.182222,2023-02-17,16.87,7.2,8.99,526.07,0.99,2.16,0.01699999999997381,0.16999999999995685,0.09699999999993575,2.92,25.31,1.77,5.4700000000038465,0.2700000000008004,0.12000000000019742,97,25.81,Moderate
Shanghai,Shanghai,Shanghai_Station_2,31.763983,122.839636,2023-08-14,13.53,7.58,7.06,534.65,17.5,1.22,0.01699999999997256,0.07999999999911123,0.11299999999999132,2.87,26.17,4.65,2.2199999999988957,0.3300000000008395,0.13000000000036013,89,73.64,Excellent
Shanghai,Shanghai,Shanghai_Station_8,43.655553,118.943604,2023-07-12,18.39,8.04,8.76,543.0,4.4,1.85,0.02400000000001329,0.43000000000155214,0.07199999999950846,3.02,16.56,3.87,2.9299999999941635,0.4600000000016754,0.11999999999997293,100,14.83,Very Poor
Yunnan,Dali,Dali_Station_7,32.055866,118.803965,2023-07-29,24.58,7.17,10.0,210.37,3.36,1.56,0.02399999999993729,0.30999999999997774,0.13200000000032353,3.14,16.75,5.07,4.6699999999939275,0.6100000000001707,0.05000000000004891,105,61.78,Moderate
Zhejiang,Hangzhou,Hangzhou_Station_4,28.21861,120.078164,2023-12-27,21.01,7.53,10.21,618.7,1.21,1.46,0.035999999999973234,0.34999999999986264,0.11500000000036388,3.5,18.74,4.34,7.869999999989128,0.6100000000011512,0.12000000000006542,97,66.76,Good
Shandong,Jinan,Jinan_Station_1,35.343173,102.290573,2023-11-20,22.99,7.35,7.4,637.57,8.51,2.06,0.010000000000007309,0.2400000000013996,0.01799999999952799,2.56,27.76,2.45,4.389999999988576,0.24000000000082455,0.0700000000003797,82,66.82,Very Poor
Yunnan,Kunming,Kunming_Station_2,29.874947,123.212833,2023-12-26,16.56,8.13,9.96,467.52,3.66,1.77,0.01999999999995318,0.2699999999999094,0.02300000000002582,3.72,10.88,6.33,6.449999999994326,0.6400000000000864,0.13000000000040102,115,92.7,Good
Yunnan,Dali,Dali_Station_4,33.481498,112.095714,2023-04-14,16.23,6.86,4.61,490.17,1.68,2.49,0.014000000000006004,0.11999999999907673,0.11999999999994693,3.76,23.87,3.4,1.8299999999966787,0.47000000000031644,0.09000000000001152,105,52.52,Very Poor
Sichuan,Mianyang,Mianyang_Station_10,28.827944,123.34357,2023-04-03,16.99,7.16,4.81,544.05,16.47,2.7,0.018999999999915352,0.37999999999989076,0.10299999999980258,3.24,20.7,5.21,5.769999999996669,0.44000000000123485,0.12000000000025908,91,41.1,Moderate
Beijing,Beijing,Beijing_Station_9,38.775225,116.334919,2023-02-28,13.78,6.65,6.56,589.49,8.65,2.91,0.011999999999959718,0.5499999999990047,0.06100000000023022,4.11,13.81,4.52,3.529999999993566,0.43000000000107064,0.11999999999975983,84,64.2,Poor
Shandong,Qingdao,Qingdao_Station_5,27.843065,116.04246,2023-09-07,24.82,8.11,6.89,363.02,4.51,2.16,0.01999999999996405,0.5799999999990406,0.06100000000028845,2.28,10.43,4.98,7.209999999988915,0.5600000000012612,0.07000000000012771,102,7.94,Good
Shandong,Qingdao,Qingdao_Station_1,25.941333,113.459267,2023-06-18,17.09,6.49,6.7,377.61,0.36,1.62,0.019999999999924713,0.3799999999994241,0.1350000000001935,3.52,20.54,4.46,9.23999999999357,0.2700000000006473,0.04000000000008958,105,73.07,Moderate
Shanghai,Shanghai,Shanghai_Station_1,23.338254,122.207838,2023-08-21,16.47,6.97,9.12,507.6,0.96,1.5,0.025999999999956218,0.32000000000094664,0.10400000000018676,3.79,18.47,5.31,2.569999999990563,0.3900000000015131,0.030000000000249535,118,84.2,Good
Jiangsu,Nanjing,Nanjing_Station_6,39.471234,100.147649,2023-07-08,31.6,7.2,8.38,469.09,0.68,2.25,0.026000000000024896,0.2899999999998534,0.05600000000000142,2.65,18.81,4.09,6.4200000000040784,0.32999999999991525,0.020000000000360244,98,51.57,Moderate
Sichuan,Chengdu,Chengdu_Station_3,35.567404,104.55092,2023-11-27,19.97,7.42,8.16,490.11,2.4,2.28,0.02599999999997478,0.3999999999995231,0.08799999999990978,2.41,18.23,2.96,7.630000000000404,0.5100000000008421,0.11000000000011916,111,86.2,Poor
Hubei,Wuhan,Wuhan_Station_9,32.312004,107.244391,2023-02-15,19.87,7.41,10.78,555.78,0.96,0.74,0.02099999999998246,0.42999999999902105,0.04999999999987374,3.25,20.27,2.2,3.7099999999915854,0.3391397184940963,0.1099999999998283,85,21.6,Excellent
Zhejiang,Hangzhou,Hangzhou_Station_6,27.823326,117.585115,2023-06-11,27.65,7.61,7.57,649.07,0.3,1.72,0.016000000000000573,0.42999999999887123,0.06500000000022427,3.15,16.86,4.02,3.540000000000312,0.1900000000000534,0.15000000000021982,104,42.61,Moderate
Hubei,Yichang,Yichang_Station_4,30.834977,109.086246,2023-05-01,13.17,6.89,5.66,319.8,8.79,2.44,0.027999999999920904,0.4899999999989875,0.09100000000006293,2.8,19.92,4.86,3.4099999999964568,0.5200000000006699,0.039999999999753504,91,24.12,Good
Shanghai,Shanghai,Shanghai_Station_8,20.122618,118.536837,2023-10-04,19.92,7.29,8.24,402.69,3.03,1.4,0.019999999999861816,0.7300000000009619,0.05700000000004782,1.85,17.78,3.13,0.44999999998531237,0.5600000000006261,0.11000000000041603,94,43.76,Very Poor
Sichuan,Chengdu,Chengdu_Station_4,44.285236,120.162211,2023-04-13,23.39,6.76,12.31,439.43,5.38,2.14,0.027999999999982896,0.370000000000107,0.1080000000000533,2.4,20.31,4.09,8.440000000000214,0.4500000000014921,0.09999999999994236,83,7.21,Poor
Jiangsu,Nanjing,Nanjing_Station_7,29.75374,124.714451,2023-03-03,13.26,6.51,10.4,434.31,5.41,1.77,0.015999999999949138,0.5600000000009787,0.06499999999986258,2.61,24.4,4.61,7.620000000002291,0.2500000000015002,0.07000000000014112,86,77.46,Good
Sichuan,Chengdu,Chengdu_Station_7,34.161885,117.521896,2023-07-08,22.28,8.08,6.71,592.78,19.55,2.73,0.03799999999994573,0.6500000000002122,0.1299999999999203,2.57,21.8,4.56,4.580000000002763,0.38000000000059136,0.04000000000015358,98,61.29,Moderate
Henan,Luoyang,Luoyang_Station_1,36.090974,121.843824,2023-05-05,18.89,6.86,8.61,581.57,1.68,2.15,0.022999999999932096,0.6699999999998212,0.05900000000023782,3.61,19.3,4.89,6.469999999996453,0.2900000000023485,0.12999999999992923,120,16.48,Poor
Yunnan,Dali,Dali_Station_6,26.160169,100.966118,2023-03-14,22.0,6.67,6.94,558.64,3.52,2.25,0.026999999999973275,0.9600000000005615,0.15400000000000974,2.05,20.39,5.81,6.250000000000161,0.5700000000011437,0.1500000000004939,108,46.16,Moderate
Henan,Luoyang,Luoyang_Station_2,30.764663,100.69609,2023-08-15,18.95,6.57,6.84,558.86,4.05,2.36,0.033999999999986326,0.4000000000001791,0.043999999999837794,3.14,27.27,2.55,2.7900000000034275,0.4100000000020275,0.06000000000058489,96,72.21,Very Poor
Shandong,Jinan,Jinan_Station_4,37.52267,109.963604,2023-07-25,21.12,7.47,5.16,323.92,5.95,2.58,0.013999999999973797,0.540000000000747,0.05799999999999099,4.11,18.52,4.13,3.6199999999903776,0.8700000000018098,0.1899999999997683,103,80.5,Moderate
Shandong,Qingdao,Qingdao_Station_6,36.717554,122.005308,2023-04-27,23.89,6.72,6.36,499.66,0.3,2.56,0.013999999999974163,0.6900000000003271,0.1340000000001664,1.61,24.0,3.57,3.2299999999901616,0.3300000000011294,0.09000000000011674,91,73.57,Poor
Shanghai,Shanghai,Shanghai_Station_9,40.833222,100.684414,2023-06-10,14.88,7.93,10.44,558.21,0.63,2.57,0.016999999999957563,0.7399999999995162,0.0029999999995046767,2.37,21.74,2.59,2.6500000000009276,0.39000000000088414,0.1400000000003828,100,94.07,Poor
Jiangsu,Nanjing,Nanjing_Station_9,28.892129,106.377935,2023-03-26,17.67,6.2,9.03,446.73,3.06,1.44,0.018999999999994497,0.5400000000013023,0.08099999999966459,1.56,19.2,4.9,6.559999999989957,0.5700000000013132,0.049999999999908847,87,65.7,Very Poor
Guangdong,Guangzhou,Guangzhou_Station_5,20.603622,112.724728,2023-01-26,19.5,6.9,6.24,417.31,11.84,1.58,0.01099999999990995,0.44000000000072875,0.17800000000024407,2.74,19.93,4.1,2.739999999992588,0.15000000000092995,0.04999999999982441,115,66.38,Very Poor
Yunnan,Dali,Dali_Station_8,40.058341,104.139134,2023-04-08,20.33,7.26,4.87,447.09,6.56,1.44,0.02600000000000456,0.22999999999989945,0.22100000000050207,3.04,21.74,3.19,4.369999999992251,0.410000000000157,0.07000000000033815,92,56.12,Good
Sichuan,Chengdu,Chengdu_Station_10,40.21937,112.917384,2023-01-23,14.92,7.03,8.86,569.31,0.35,2.19,0.0380000000000085,0.47999999999973897,0.05899999999967745,2.37,19.71,3.55,9.020000000003439,0.8500000000005898,0.049999999999916216,101,51.25,Poor
Jiangsu,Nanjing,Nanjing_Station_8,23.225819,114.470416,2023-08-23,19.09,7.69,6.71,420.08,0.9,2.58,0.01199999999994115,0.20999999999951613,0.10500000000000577,2.82,22.56,4.32,4.939999999984451,0.4900000000020081,0.060000000000347324,116,49.78,Poor
Shandong,Qingdao,Qingdao_Station_6,29.178298,115.964606,2023-06-08,21.49,6.62,7.15,614.84,7.47,1.08,0.021999999999948353,0.5700000000005807,0.16800000000030002,3.59,22.68,4.77,4.619999999994656,0.2600000000008139,0.11000000000015266,106,31.68,Excellent
Henan,Zhengzhou,Zhengzhou_Station_2,26.444931,117.025546,2023-07-06,18.33,6.8,6.09,542.36,2.9,1.63,0.021999999999919178,0.5399999999992516,0.11199999999997474,3.26,20.03,4.27,4.9100000000037864,0.7300000000010441,0.17000000000014617,89,42.75,Excellent
Zhejiang,Hangzhou,Hangzhou_Station_1,41.53046,123.350651,2023-06-13,25.94,8.29,9.16,532.58,0.41,1.6,0.025999999999911417,0.5500000000007303,0.11499999999991778,3.9,21.75,3.7,1.0900000000048116,0.4700000000011915,0.17000000000005672,96,82.82,Moderate
